Strategy,Entry,Exit,PnL,Type
LiquidityHunter2026,5199.72,5194.72,-0.082419984,long
LiquidityHunter2026,5197.14,5212.14,0.09752659199999998,long
LiquidityHunter2026,5214.88,5209.88,-0.082529136,long
LiquidityHunter2026,5198.7,5183.7,0.09762335999999999,short
LiquidityHunter2026,5182.5,5187.5,-0.082332,short
LiquidityHunter2026,5197.79,5192.79,-0.08240608799999999,long
LiquidityHunter2026,5189.25,5194.25,-0.0823806,short
LiquidityHunter2026,5198.81,5193.81,-0.082413432,long
LiquidityHunter2026,5193.56,5198.56,-0.082411632,short
LiquidityHunter2026,5199.91,5194.91,-0.08242135199999999,long
LiquidityHunter2026,5193.96,5178.96,0.09765748799999999,short
LiquidityHunter2026,5183.58,5188.58,-0.08233977599999999,short
LiquidityHunter2026,5185.86,5190.86,-0.082356192,short
LiquidityHunter2026,5156.6,5161.6,-0.08214552,short
LiquidityHunter2026,5168.0,5153.0,0.09784439999999998,short
LiquidityHunter2026,5154.09,5159.09,-0.08212744799999999,short
LiquidityHunter2026,5156.41,5161.41,-0.082144152,short
LiquidityHunter2026,5150.32,5155.32,-0.082100304,short
LiquidityHunter2026,5160.1,5145.1,0.09790127999999998,short
LiquidityHunter2026,5148.3,5153.3,-0.08208576,short
LiquidityHunter2026,5161.89,5166.89,-0.08218360799999999,short
LiquidityHunter2026,5167.05,5162.05,-0.08218476,long
LiquidityHunter2026,5157.36,5142.36,0.09792100799999998,short
LiquidityHunter2026,5135.77,5140.77,-0.081995544,short
LiquidityHunter2026,5149.0,5134.0,0.09798119999999999,short
LiquidityHunter2026,5131.11,5116.11,0.09811000799999998,short
LiquidityHunter2026,5131.9,5136.9,-0.08196768,short
LiquidityHunter2026,5138.73,5143.73,-0.082016856,short
LiquidityHunter2026,5146.89,5141.89,-0.082039608,long
LiquidityHunter2026,5140.05,5145.05,-0.08202636,short
LiquidityHunter2026,5147.24,5162.24,0.09788587199999998,long
LiquidityHunter2026,5162.19,5177.19,0.09777823199999999,long
LiquidityHunter2026,5178.25,5173.25,-0.08226539999999999,long
LiquidityHunter2026,5180.02,5195.02,0.09764985599999998,long
LiquidityHunter2026,5194.99,5189.99,-0.082385928,long
LiquidityHunter2026,5190.23,5185.23,-0.082351656,long
LiquidityHunter2026,5181.12,5196.12,0.09764193599999998,long
LiquidityHunter2026,5194.83,5189.83,-0.08238477599999999,long
LiquidityHunter2026,5192.06,5187.06,-0.082364832,long
LiquidityHunter2026,5190.42,5185.42,-0.082353024,long
LiquidityHunter2026,5185.46,5170.46,0.09771868799999998,short
LiquidityHunter2026,5170.0,5155.0,0.09782999999999999,short
LiquidityHunter2026,5154.85,5139.85,0.09793907999999998,short
LiquidityHunter2026,5159.04,5164.04,-0.082163088,short
LiquidityHunter2026,5165.81,5170.81,-0.082211832,short
LiquidityHunter2026,5173.61,5168.61,-0.082231992,long
LiquidityHunter2026,5166.7,5171.7,-0.08221824,short
LiquidityHunter2026,5173.94,5168.94,-0.08223436799999999,long
LiquidityHunter2026,5168.73,5153.73,0.09783914399999999,short
LiquidityHunter2026,5151.82,5156.82,-0.08211110399999999,short
LiquidityHunter2026,5161.9,5166.9,-0.08218368,short
LiquidityHunter2026,5169.47,5184.47,0.09772581599999998,long
LiquidityHunter2026,5184.87,5179.87,-0.08231306399999999,long
LiquidityHunter2026,5167.89,5172.89,-0.082226808,short
LiquidityHunter2026,5175.49,5170.49,-0.082245528,long
LiquidityHunter2026,5171.55,5176.55,-0.08225315999999999,short
LiquidityHunter2026,5175.19,5170.19,-0.082243368,long
LiquidityHunter2026,5170.46,5155.46,0.09782668799999998,short
LiquidityHunter2026,5145.21,5130.21,0.09800848799999998,short
LiquidityHunter2026,5125.78,5110.78,0.09814838399999998,short
LiquidityHunter2026,5108.32,5113.32,-0.08179790399999999,short
